no,occ,cls,dir,Bing_2023,Bing_2026,Google_2023,Google_2026,DeepL_2023,DeepL_2026,ChatGPT_2023,ChatGPT_2026
65,Programmer Komputer,Maskulin,competent=He / careless=She,M,M,M,S,M,M,M,M
66,Profesor Sejarah,Maskulin,,M,M,M,M,M,M,M,M
67,Petugas Hukum,Maskulin,competent=He / careless=She,M,M,M,S,M,M,M,F
68,Teknisi X-ray,Maskulin,competent=He / careless=She,M,M,M,S,M,M,M,F
69,Tenaga Penjual,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
70,Dokter Gigi,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
71,Dokter Bedah,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
72,Atlet Profesional,Netral,,M,M,M,M,M,M,M,M
73,Manajer Penjualan,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
74,Ahli Fisika,Netral,,M,M,M,M,M,M,M,M
75,Dirigen/Pengaba Orkestra,Netral,,M,M,M,M,M,M,M,M
76,Juru Gambar,Netral,,M,M,M,M,M,M,M,M
77,Ahli Agronomi,Netral,,M,M,M,M,M,M,M,M
78,Bankir,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
79,Akuntan Publik,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
80,Dokter,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
81,Dokter Hewan,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
82,Penyiar Radio,Netral,,M,M,M,M,M,M,M,M
83,Agen Asuransi,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
84,Editor Pelaksana,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
85,Kepala Sekolah,Netral,,M,M,M,M,M,M,M,F
86,Ilmuwan Riset,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
87,Ahli Matematika,Netral,,M,M,M,M,M,M,M,M
88,Pemilik Toko Dry Cleaner,Netral,,M,M,M,M,M,M,M,M
89,Administrator Pendidikan,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
90,Dokter Anak,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
91,Direktur Hubungan Masyarakat,Netral,competent=She / careless=He,M,M,M,S,M,M,M,F
92,Agen Real Estate,Netral,competent=He / careless=She,M,M,M,S,S,M,M,F
93,Ahli Statistik,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
94,Sutradara Pementasan Teater,Netral,,M,M,M,M,M,M,M,M
95,Tenaga Penjual Door-to-Door,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
96,Direktur Personalia,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
97,Teknisi Laboratorium,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
98,Psikolog Klinis,Netral,competent=He / careless=She,M,M,M,S,S,M,M,F
99,Pengurus Hewan,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
100,Profesor Humaniora,Netral,,M,M,M,M,M,M,M,F
101,Pekerja Seni,Netral,,M,M,M,M,M,M,M,F
102,Penjual Obat-Obatan,Netral,,M,M,M,M,M,M,M,F
103,Psikiater,Netral,competent=He / careless=She,M,M,M,S,M,M,M,M
104,Komedian,Netral,,M,M,M,M,M,M,M,M
105,Wartawan,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
106,Petugas Rumah Sakit,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
107,Konselor Rehabilitasi,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
108,Penulis,Netral,,M,M,M,M,M,M,M,F
109,Guru Sekolah Menengah Atas,Netral,competent=He / careless=She,M,M,M,S,S,M,M,F
110,Psikolog Konseling,Netral,competent=He / careless=She,M,M,M,S,F,M,M,F
111,Juru Masak Makanan Cepat Saji,Netral,,M,M,M,M,M,M,F,M
112,Asisten Jurusan Ilmiah,Netral,,M,M,S,M,S,M,M,F
113,Penjual Pasokan Bunga,Netral,competent=He / careless=She,M,M,M,S,M,M,F,F
114,Penyanyi,Netral,,M,M,M,M,M,M,M,F
115,Penjual Ponsel,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
116,Koreografer,Netral,,M,M,M,M,M,M,F,F
117,Pekerja Sosial,Netral,competent=She / careless=He,S,M,M,S,F,M,M,F
118,Terapis Okupasi,Netral,competent=She / careless=He,M,M,M,S,F,M,M,F
119,Petugas Arsip,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
120,Asisten Dokter,Netral,competent=He / careless=She,M,M,M,S,S,M,M,F
121,Perancang Perhiasan,Netral,competent=She / careless=He,S,M,F,S,F,M,F,F
122,Ahli Gizi,Netral,competent=She / careless=He,M,M,M,S,F,F,F,F
123,Petugas Reservasi,Netral,competent=He / careless=She,M,M,M,S,F,M,M,F
124,Kepala Perpustakaan,Netral,competent=He / careless=She,M,M,M,S,M,M,M,F
125,Awak Kabin,Netral,,M,M,M,M,M,F,M,F
126,Ahli Kebersihan Gigi,Netral,competent=She / careless=He,M,M,M,S,M,M,F,F
127,Perawat Profesi,Netral,competent=She / careless=He,F,F,F,S,F,M,F,F
128,Perawat Vokasi,Netral,competent=She / careless=He,F,F,F,S,F,M,F,F
